caseid,policy_gun,policy_cappun,policy_pot,policy_prostitute,policy_healthcare,policy_taxcut,policy_affect,policy_nuke,policy_warming,policy_draft,pk_house,pk_senate,pk_ag,pk_senleader,pk_justice,pk_override,pk_nominate,pk_term,pk_conservparty,birthyr,gender,pid7,pid3_t,pid3,race,race_other,educ,marstat,employ,employ_t,pew_bornagain,pew_religimp,pew_churatd,pew_prayer,religpew,religpew_t,religpew_protestant,ideo5,newsint,faminc,votereg,inputstate
152256421,4,1,6,4,6,6,4,1,6,1,2,1,4,2,5,2,1,4,2,1975,1,3,__NA__,3,1,__NA__,2,5,1,__NA__,2,3,5,3,11,__NA__,99,3,3,4,1,32
152257301,6,4,2,2,6,6,3,4,6,1,2,1,4,2,4,2,1,4,2,1991,2,4,__NA__,3,3,__NA__,3,5,1,__NA__,2,1,2,2,2,__NA__,99,3,1,9,1,12
152275991,5,4,4,1,6,6,4,2,6,3,2,1,1,2,5,2,1,2,2,1971,2,4,__NA__,3,1,__NA__,4,5,8,__NA__,2,2,3,1,11,__NA__,13,3,2,6,2,39
152281009,6,5,6,6,6,6,3,5,5,1,2,1,4,2,5,2,1,4,2,1974,1,3,__NA__,3,1,__NA__,5,5,1,__NA__,2,4,6,7,11,__NA__,99,1,2,1,2,40
152288519,5,1,6,4,6,6,6,4,5,4,2,1,4,2,5,2,1,4,2,1974,2,3,__NA__,3,3,__NA__,6,1,1,__NA__,2,3,5,7,5,__NA__,99,2,1,12,1,48
152305683,6,6,1,1,6,6,1,1,6,1,2,1,2,5,4,3,1,1,3,1958,2,4,__NA__,3,1,__NA__,3,3,2,__NA__,2,2,4,6,1,__NA__,2,6,2,3,1,26
152331063,4,3,4,1,6,6,4,4,5,2,8,1,4,2,5,2,1,4,2,1983,2,4,__NA__,3,1,__NA__,5,5,1,__NA__,2,1,2,3,2,__NA__,99,3,3,3,1,39
152332667,6,1,5,1,6,6,6,2,6,5,2,1,4,2,2,2,1,2,2,1952,1,3,__NA__,3,2,__NA__,3,1,1,__NA__,1,1,5,3,1,__NA__,1,3,1,4,1,18
152355451,2,6,3,1,4,3,5,6,6,1,2,2,2,4,1,2,2,4,2,1961,2,4,__NA__,3,1,__NA__,3,4,4, ,1,1,2,1,1,evangelist,3,3,2,5,1,29
152360340,5,5,1,1,6,4,4,4,5,1,1,2,1,2,4,2,1,4,2,1974,1,4,__NA__,3,1,__NA__,2,1,1,__NA__,2,1,1,1,1,__NA__,13,4,3,2,2,36
